import time: self [us] | cumulative | imported package
import time:        80 |      28135 |           fastapi.security.base
import time:      3653 |      32628 |         fastapi.dependencies.models
import time:      1102 |       1102 |             starlette.background
import time:      1239 |       2341 |           fastapi.background
import time:       821 |        821 |           fastapi.concurrency
import time:      1145 |       1145 |           fastapi.utils
import time:      3460 |       3460 |               _hashlib
import time:        79 |         79 |               _blake2
import time:      1276 |       4814 |             hashlib
import time:      1431 |       1431 |             mimetypes
import time:       936 |        936 |               hmac
import time:       801 |       1736 |             secrets
import time:      1301 |       9282 |           starlette.responses
import time:      1149 |       1149 |           starlette.websockets
import time:      2673 |      17408 |         fastapi.dependencies.utils
import time:      1049 |       1049 |             colorsys
import time:      1690 |       2739 |           pydantic.color
import time:      1317 |       4055 |         fastapi.encoders
import time:      1406 |       1406 |           starlette._exception_handler
import time:      1843 |       1843 |           starlette.convertors
import time:      1520 |       1520 |           starlette.middleware
import time:      2255 |       7022 |         starlette.routing
import time:      3906 |     539267 |       fastapi.routing
import time:      1052 |       1052 |         fastapi.websockets
import time:      1247 |       2298 |       fastapi.exception_handlers
import time:       942 |        942 |         fastapi.middleware
import time:      1080 |       2021 |       fastapi.middleware.asyncexitstack
import time:      1388 |       1388 |       fastapi.openapi.docs
import time:      1401 |       1401 |             email.feedparser
import time:      1046 |       2447 |           email.parser
import time:      1942 |       4388 |         http.client
import time:       367 |        367 |           ujson
import time:       336 |        336 |           orjson
import time:      1138 |       1840 |         fastapi.responses
import time:      1262 |       7490 |       fastapi.openapi.utils
import time:      1235 |       1235 |         starlette.middleware.base
import time:      1991 |       1991 |             html.entities
import time:      1243 |       3234 |           html
import time:       865 |       4099 |         starlette.middleware.errors
import time:       999 |        999 |         starlette.middleware.exceptions
import time:      1225 |       7556 |       starlette.applications
import time:      2522 |     564366 |     fastapi.applications
import time:       853 |        853 |     fastapi.requests
import time:      1182 |     570364 |   fastapi
import time:       949 |        949 |     starlette.middleware.cors
import time:       769 |       1717 |   fastapi.middleware.cors
import time:      1138 |       1138 |   backend.app.config
import time:      1104 |       1104 |         sqlalchemy.util.preloaded
import time:      1341 |       1341 |             sqlalchemy.cyextension
import time:      1426 |       1426 |             sqlalchemy.cyextension.collections
import time:       970 |        970 |             sqlalchemy.cyextension.immutabledict
import time:       742 |        742 |             sqlalchemy.cyextension.processors
import time:       792 |        792 |             sqlalchemy.cyextension.resultproxy
import time:      3264 |       3264 |                   platform
import time:     39723 |      42986 |                 sqlalchemy.util.compat
import time:      2728 |      45714 |               sqlalchemy.exc
import time:       963 |      46677 |             sqlalchemy.cyextension.util
import time:       891 |      52835 |           sqlalchemy.util._has_cy
import time:      2383 |       2383 |           sqlalchemy.util.typing
import time:      1842 |      57059 |         sqlalchemy.util._collections
import time:      1889 |       1889 |             greenlet._greenlet
import time:      1711 |       3600 |           greenlet
import time:      4963 |       4963 |             sqlalchemy.util.langhelpers
import time:      1221 |       6183 |           sqlalchemy.util._concurrency_py3k
import time:      1403 |      11185 |         sqlalchemy.util.concurrency
import time:      1232 |       1232 |         sqlalchemy.util.deprecations
import time:      1363 |      71939 |       sqlalchemy.util
import time:      1394 |       1394 |                         sqlalchemy.event.registry
import time:      1163 |       2556 |                       sqlalchemy.event.legacy
import time:      1862 |       4418 |                     sqlalchemy.event.attr
import time:      1288 |       5705 |                   sqlalchemy.event.base
import time:      1114 |       6819 |                 sqlalchemy.event.api
import time:       873 |       7692 |               sqlalchemy.event
import time:      1661 |       1661 |                     sqlalchemy.log
import time:      3499 |       5160 |                   sqlalchemy.pool.base
import time:      2017 |       7177 |                 sqlalchemy.pool.events
import time:      1611 |       1611 |                   sqlalchemy.util.queue
import time:      1549 |       3160 |                 sqlalchemy.pool.impl
import time:       929 |      11265 |               sqlalchemy.pool
import time:      1602 |       1602 |                     sqlalchemy.sql.roles
import time:      1296 |       1296 |                     sqlalchemy.inspection
import time:      3187 |       6084 |                   sqlalchemy.sql._typing
import time:      2346 |       2346 |                     sqlalchemy.sql.visitors
import time:      2576 |       2576 |                     sqlalchemy.sql.cache_key
import time:      1671 |       1671 |                       sqlalchemy.sql.operators
import time:      1836 |       3506 |                     sqlalchemy.sql.traversals
import time:      4408 |      12835 |                   sqlalchemy.sql.base
import time:      2475 |       2475 |                     sqlalchemy.sql.coercions
import time:      1100 |       1100 |                           sqlalchemy.sql.annotation
import time:      4172 |       4172 |                               sqlalchemy.sql.type_api
import time:      7769 |      11941 |                             sqlalchemy.sql.elements
import time:      1076 |       1076 |                             sqlalchemy.util.topological
import time:      3778 |      16793 |                           sqlalchemy.sql.ddl
import time:      1526 |       1526 |                                   _compat_pickle
import time:       148 |        148 |                                   _pickle
import time:       344 |        344 |                                       org
import time:        24 |        368 |                                     org.python
import time:        22 |        389 |                                   org.python.core
import time:      2695 |       4758 |                                 pickle
import time:       968 |        968 |                                   sqlalchemy.engine._py_processors
import time:      1208 |       2176 |                                 sqlalchemy.engine.processors
import time:     18033 |      24966 |                               sqlalchemy.sql.sqltypes
import time:     10508 |      35474 |                             sqlalchemy.sql.selectable
import time:      5845 |      41318 |                           sqlalchemy.sql.schema
import time:      1517 |      60728 |                         sqlalchemy.sql.util
import time:      3301 |      64028 |                       sqlalchemy.sql.dml
import time:      2633 |      66660 |                     sqlalchemy.sql.crud
import time:      4756 |       4756 |                     sqlalchemy.sql.functions
import time:      7650 |      81540 |                   sqlalchemy.sql.compiler
import time:       867 |        867 |                     sqlalchemy.sql._dml_constructors
import time:      1080 |       1080 |                     sqlalchemy.sql._elements_constructors
import time:      1013 |       1013 |                     sqlalchemy.sql._selectable_constructors
import time:      1697 |       1697 |                     sqlalchemy.sql.lambdas
import time:      1472 |       6128 |                   sqlalchemy.sql.expression
import time:      1166 |       1166 |                   sqlalchemy.sql.default_comparator
import time:      2430 |       2430 |                     sqlalchemy.sql.events
import time:      1490 |       3920 |                   sqlalchemy.sql.naming
import time:      7846 |     119516 |                 sqlalchemy.sql
import time:        40 |     119555 |               sqlalchemy.sql.compiler
import time:      6313 |     144824 |             sqlalchemy.engine.interfaces
import time:      2290 |       2290 |             sqlalchemy.engine.util
import time:      2934 |     150046 |           sqlalchemy.engine.base
import time:      3619 |     153665 |         sqlalchemy.engine.events
import time:      1115 |       1115 |             sqlalchemy.dialects
import time:      1902 |       3017 |           sqlalchemy.engine.url
import time:      1177 |       1177 |           sqlalchemy.engine.mock
import time:      3509 |       7702 |         sqlalchemy.engine.create
import time:      2007 |       2007 |             sqlalchemy.engine.row
import time:      3104 |       5110 |           sqlalchemy.engine.result
import time:      2194 |       7304 |         sqlalchemy.engine.cursor
import time:      2928 |       2928 |         sqlalchemy.engine.reflection
import time:      1131 |     172727 |       sqlalchemy.engine
import time:      1227 |       1227 |       sqlalchemy.schema
import time:      1773 |       1773 |       sqlalchemy.types
import time:      1516 |       1516 |         sqlalchemy.engine.characteristics
import time:      3137 |       4653 |       sqlalchemy.engine.default
import time:      1708 |     254026 |     sqlalchemy
import time:      1255 |       1255 |                   sqlalchemy.sql._orm_types
import time:      1962 |       3216 |                 sqlalchemy.orm._typing
import time:      3049 |       6265 |               sqlalchemy.orm.base
import time:      2038 |       2038 |               sqlalchemy.orm.mapped_collection
import time:      2599 |      10900 |             sqlalchemy.orm.collections
import time:      1558 |       1558 |               sqlalchemy.orm.path_registry
import time:      2896 |       4454 |             sqlalchemy.orm.interfaces
import time:      3444 |      18798 |           sqlalchemy.orm.attributes
import time:      2993 |      21790 |         sqlalchemy.orm.util
import time:      1500 |      23289 |       sqlalchemy.orm.exc
import time:      1670 |       1670 |           sqlalchemy.orm.state
import time:      2531 |       4200 |         sqlalchemy.orm.instrumentation
import time:      1368 |       1368 |               sqlalchemy.future.engine
import time:      1229 |       2596 |             sqlalchemy.future
import time:      4091 |       6687 |           sqlalchemy.orm.context
import time:      2872 |       2872 |               sqlalchemy.orm.strategy_options
import time:      2268 |       2268 |               sqlalchemy.orm.descriptor_props
import time:      4149 |       4149 |               sqlalchemy.orm.relationships
import time:      1929 |      11216 |             sqlalchemy.orm.properties
import time:      6107 |       6107 |             sqlalchemy.orm.query
import time:      1277 |       1277 |             sqlalchemy.orm.unitofwork
import time:      1435 |       1435 |                 sqlalchemy.orm.evaluator
import time:       750 |        750 |                   sqlalchemy.orm.sync
import time:      1185 |       1934 |                 sqlalchemy.orm.persistence
import time:      1846 |       5215 |               sqlalchemy.orm.bulk_persistence
import time:       824 |        824 |               sqlalchemy.orm.identity
import time:       996 |        996 |               sqlalchemy.orm.state_changes
import time:      4540 |      11574 |             sqlalchemy.orm.session
import time:      2659 |      32832 |           sqlalchemy.orm.strategies
import time:      1872 |      41389 |         sqlalchemy.orm.loading
import time:      3297 |      48886 |       sqlalchemy.orm.mapper
import time:      2014 |       2014 |       sqlalchemy.orm._orm_constructors
import time:      1943 |       1943 |         sqlalchemy.orm.clsregistry
import time:      2427 |       2427 |         sqlalchemy.orm.decl_base
import time:      2849 |       7218 |       sqlalchemy.orm.decl_api
import time:      1299 |       1299 |         sqlalchemy.orm.writeonly
import time:      1241 |       2539 |       sqlalchemy.orm.dynamic
import time:      1393 |       1393 |         sqlalchemy.orm.scoping
import time:      8562 |       9955 |       sqlalchemy.orm.events
import time:      1148 |       1148 |       sqlalchemy.orm.dependency
import time:      1720 |      96767 |     sqlalchemy.orm
import time:       853 |        853 |           sqlalchemy.dialects.sqlite.json
import time:     12538 |      13391 |         sqlalchemy.dialects.sqlite.base
import time:      1518 |       1518 |         sqlalchemy.dialects.sqlite.pysqlite
import time:      1199 |       1199 |           sqlalchemy.connectors
import time:      1870 |       3069 |         sqlalchemy.connectors.asyncio
import time:      1906 |      19883 |       sqlalchemy.dialects.sqlite.aiosqlite
import time:      1040 |       1040 |       sqlalchemy.dialects.sqlite.pysqlcipher
import time:      1103 |       1103 |         sqlalchemy.dialects._typing
import time:      1732 |       2834 |       sqlalchemy.dialects.sqlite.dml
import time:      1724 |      25480 |     sqlalchemy.dialects.sqlite
import time:      2371 |       2371 |         _sqlite3
import time:      1572 |       3942 |       sqlite3.dbapi2
import time:      1268 |       5210 |     sqlite3
import time:      1791 |     383272 |   backend.app.database
import time:      1052 |       1052 |     backend.app.middleware
import time:      1138 |       2189 |   backend.app.middleware.error_handler
import time:       903 |        903 |     backend.app.routes
import time:       774 |        774 |       backend.app.schemas
import time:      3391 |       4164 |     backend.app.schemas.auth
import time:       841 |        841 |       backend.app.services
import time:     11457 |      11457 |       backend.app.models
import time:       898 |        898 |         backend.app.security
import time:      1304 |       1304 |           passlib
import time:      1480 |       1480 |           passlib.exc
import time:      1224 |       1224 |                   passlib.utils.compat
import time:       881 |        881 |                     unicodedata
import time:      1183 |       2064 |                   stringprep
import time:        71 |         71 |                     gc
import time:      1010 |       1081 |                   timeit
import time:      1007 |       1007 |                     passlib.utils.decor
import time:      2265 |       3272 |                   passlib.utils.binary
import time:       309 |        309 |                     _crypt
import time:       971 |       1280 |                   crypt
import time:      1328 |      10247 |                 passlib.utils
import time:        25 |      10271 |               passlib.utils.decor
import time:       955 |      11226 |             passlib.ifc
import time:      1330 |      12555 |           passlib.registry
import time:      1921 |       1921 |           passlib.utils.handlers
import time:      2948 |       2948 |           configparser
import time:      2125 |      22330 |         passlib.context
import time:       969 |        969 |           passlib.handlers
import time:       958 |        958 |             passlib.crypto
import time:       360 |        360 |             fastpbkdf2
import time:      2027 |       3345 |           passlib.crypto.digest
import time:      2847 |       7160 |         passlib.handlers.bcrypt
import time:      1292 |      31679 |       backend.app.security.password
import time:      1519 |       1519 |           jose.exceptions
import time:      1434 |       2953 |         jose
import time:      1629 |       1629 |                             cryptography.__about__
import time:      1862 |       3491 |                           cryptography
import time:      1182 |       4672 |                         cryptography.utils
import time:      1855 |       6527 |                       jose.utils
import time:      1188 |       7714 |                     jose.backends.base
import time:      1451 |       1451 |                     jose.constants
import time:      1265 |      10429 |                   jose.backends.native
import time:      1127 |       1127 |                           cryptography.hazmat
import time:      1178 |       2305 |                         cryptography.hazmat.bindings
import time:      1671 |       1671 |                         _cffi_backend
import time:      3927 |       7902 |                       cryptography.hazmat.bindings._rust
import time:      1286 |       9187 |                     cryptography.exceptions
import time:      1372 |       1372 |                     cryptography.hazmat.backends
import time:       997 |        997 |                     cryptography.hazmat.primitives
import time:      1754 |       1754 |                     cryptography.hazmat.primitives.hashes
import time:      1638 |       1638 |                     cryptography.hazmat.primitives.hmac
import time:      1501 |       1501 |                       cryptography.hazmat.primitives._serialization
